min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.13435 29.29642 0.13435 29.29642 1.84175 26.35413 6.43423 3.80787 2.36985 3.92009 7.79507 2.61278 0.00000 0.01747 0.00060 0.00111 0.00395 0.85774 0.06959 0.11473 0.09928 0.27634 0.87191 0.03093 7.93179 0.50427
0.64121 64.67189 0.64121 64.67189 1.55080 54.70731 12.48069 8.08531 6.63765 9.38046 14.43707 6.52226 0.00001 0.34941 0.00398 0.01388 0.02037 3.16727 0.28146 0.43504 0.19289 0.40567 0.80875 0.05595 5.66533 0.49869
0.20125 61.23815 0.20125 61.23815 0.98335 53.23862 11.64379 7.56452 7.57341 8.74687 13.00664 6.58483 0.00001 0.33253 0.01090 0.02237 0.07930 6.52891 0.67394 0.91513 0.26086 0.48555 0.61185 0.05739 4.77394 0.48393
0.07015 47.02837 0.07015 47.02837 1.23427 41.30277 9.05642 5.80495 4.85035 6.32728 10.46470 4.86509 0.00001 0.40565 0.01262 0.03157 0.11133 9.16771 0.97525 1.27455 0.19014 0.40082 0.82831 0.04545 5.72942 0.48953
0.05742 46.17165 0.05742 46.17165 1.26960 40.09737 8.86449 5.67364 4.57438 6.29309 10.30091 4.63493 0.00004 0.44257 0.01143 0.03070 0.12600 11.47749 1.20499 1.58446 0.17785 0.39030 0.82839 0.04747 5.90106 0.49676
0.09905 41.67597 0.09905 41.67597 0.99656 36.10507 8.03499 5.14950 4.28240 5.74748 9.29144 4.24759 0.00006 0.42930 0.01022 0.02872 0.13816 13.70683 1.43082 1.89102 0.17977 0.40444 0.82343 0.04986 5.70996 0.49739
0.02796 31.72691 0.02796 31.72691 1.00156 28.03023 6.30219 3.95488 3.06441 4.25039 7.38626 3.18497 0.00006 0.42312 0.00967 0.02819 0.14923 15.52683 1.61502 2.13871 0.14813 0.37213 0.84242 0.04367 6.14845 0.49189
0.31830 36.37609 0.31830 36.37609 1.28051 32.12605 7.19829 4.52601 3.22834 4.87255 8.52751 3.51432 0.00006 0.38780 0.00930 0.02698 0.15973 17.18493 1.76416 2.35677 0.13535 0.34038 0.84874 0.04198 6.65690 0.50014
0.03768 38.16902 0.03768 38.16902 1.09278 33.03356 7.51294 4.76041 3.75049 5.30283 8.77268 3.80883 0.00006 0.34590 0.00884 0.02530 0.17365 19.07758 1.94275 2.61597 0.15930 0.37981 0.83192 0.04715 6.06073 0.49568
0.06800 35.34356 0.06800 35.34356 1.00432 30.90319 6.93504 4.39394 3.43738 4.81973 8.10613 3.53916 0.00006 0.32656 0.00835 0.02427 0.18013 20.93192 2.12448 2.87090 0.15495 0.37795 0.83674 0.04566 6.10021 0.49661
