min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.15903 26.62439 0.15903 26.62439 2.03683 24.51136 6.03365 4.06592 1.85235 3.71452 7.82865 2.64158 0.00000 0.07767 0.00044 0.00191 0.00466 0.76618 0.05449 0.10887 0.04048 0.21408 0.90259 0.03275 9.65816 0.47486
0.60797 63.80501 0.60797 63.80501 1.89376 57.05312 11.67598 8.47880 5.15115 8.88051 14.47704 6.54019 0.00002 0.39395 0.00344 0.01427 0.02291 2.96165 0.21884 0.41185 0.07883 0.34739 0.84802 0.04753 7.36629 0.47044
0.13049 60.69975 0.13049 60.69975 1.23254 53.92341 10.96110 8.00007 5.85909 8.55106 13.15136 6.64185 0.00005 0.36107 0.01235 0.02590 0.05691 6.32392 0.52400 0.87576 0.11369 0.45743 0.78474 0.04873 6.27324 0.48167
0.05122 45.14491 0.05122 45.14491 1.41807 40.19697 8.52090 6.15858 3.74003 6.10552 10.57329 4.91761 0.00007 0.43387 0.01732 0.03899 0.07364 8.89450 0.75597 1.22685 0.08177 0.36651 0.86922 0.03889 7.60868 0.47758
0.06547 44.16954 0.06547 44.16954 1.48930 39.97673 8.34400 6.01806 3.55659 6.04607 10.39921 4.69138 0.00006 0.45219 0.01667 0.03922 0.09152 11.10447 0.93409 1.52497 0.07486 0.33884 0.86968 0.04282 7.62541 0.47974
0.08508 39.54689 0.08508 39.54689 1.19696 36.18895 7.56508 5.47028 3.31641 5.54458 9.38900 4.30077 0.00006 0.45817 0.01520 0.03783 0.10700 13.23188 1.10947 1.81987 0.07609 0.34710 0.86277 0.04315 7.50044 0.48119
0.03375 29.29867 0.03375 29.29867 1.16339 26.84173 5.92784 4.21966 2.35258 4.09269 7.46268 3.22729 0.00005 0.47864 0.01419 0.03699 0.11479 14.93733 1.25141 2.05888 0.06291 0.30826 0.88253 0.04060 7.99539 0.48230
0.17294 33.80177 0.17294 33.80177 1.46943 30.72860 6.75755 4.80821 2.49899 4.65678 8.58572 3.55058 0.00006 0.46895 0.01369 0.03642 0.12634 16.47024 1.36648 2.26785 0.05594 0.27732 0.88741 0.03897 8.58227 0.47477
0.12071 35.71364 0.12071 35.71364 1.28755 32.91425 7.05396 5.05216 2.88554 5.06230 8.84343 3.84952 0.00006 0.42743 0.01317 0.03543 0.14186 18.23473 1.50418 2.51506 0.06573 0.31119 0.87419 0.04319 7.84296 0.47404
0.09750 32.91185 0.09750 32.91185 1.17878 30.20557 6.51637 4.67679 2.63921 4.63173 8.18081 3.58172 0.00007 0.44432 0.01238 0.03406 0.15197 19.96797 1.64386 2.75929 0.06449 0.30920 0.87818 0.04161 7.95711 0.48126
0.05627 28.27075 0.05627 28.27075 1.14291 25.99323 5.75707 4.09765 2.21441 3.97408 7.27791 3.08515 0.00007 0.46013 0.01180 0.03321 0.15993 21.49356 1.76496 2.97325 0.05891 0.28990 0.88473 0.03964 8.25725 0.48180
0.14595 25.01205 0.14595 25.01205 1.11983 23.10955 5.22871 3.69166 1.92181 3.53187 6.64833 2.72286 0.00007 0.47174 0.01147 0.03278 0.16855 22.82009 1.86776 3.15885 0.05428 0.27151 0.88825 0.03819 8.53492 0.48053
