min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.31269 29.09266 0.31269 29.09266 2.05677 25.55132 7.02839 3.50797 3.47724 4.76195 7.81802 2.56365 0.00000 0.39725 0.00057 0.01048 0.00455 0.84438 0.10244 0.14020 0.09360 0.45784 0.81050 0.04951 5.64766 0.45954
0.56002 68.76379 0.56002 68.76379 1.83011 58.35271 13.54015 7.69970 9.13258 10.89121 14.52021 6.38842 0.00001 0.24475 0.00377 0.01251 0.08065 3.22640 0.40208 0.51739 0.18865 0.68088 0.72004 0.08462 4.14428 0.46247
0.19064 65.32228 0.19064 65.32228 1.22050 55.41962 12.58441 7.39653 10.43365 10.29943 13.06265 6.48297 0.00007 0.40082 0.01006 0.02322 0.12846 6.83733 0.93178 1.07250 0.32922 0.81270 0.39892 0.10017 3.42138 0.48470
0.20650 47.46154 0.20650 47.46154 1.49279 40.51501 10.03854 5.46663 8.16725 7.67168 10.45463 4.74240 0.00008 0.38023 0.01540 0.03450 0.21040 9.57050 1.38832 1.49933 0.33207 0.82408 0.50591 0.10195 3.30815 0.49078
0.20232 46.60714 0.20232 46.60714 1.55927 38.90078 9.88488 5.28122 7.75031 7.47433 10.35952 4.52023 0.00007 0.46419 0.01902 0.04334 0.23851 11.89805 1.78287 1.86774 0.29600 0.79680 0.62315 0.10005 3.38698 0.48677
0.42858 42.74748 0.42858 42.74748 1.23765 35.75712 8.86149 4.87180 6.69516 6.86518 9.34319 4.15409 0.00006 0.44345 0.01915 0.04466 0.26254 14.17194 2.15054 2.22944 0.26186 0.75212 0.66943 0.09891 3.56589 0.47922
0.13596 32.11834 0.13596 32.11834 1.18648 27.56549 6.89327 3.73496 4.68437 5.20353 7.38444 3.11527 0.00006 0.48791 0.01798 0.04303 0.29398 16.02860 2.43338 2.52769 0.20583 0.66981 0.72142 0.07987 4.05459 0.46545
0.11928 36.87042 0.11928 36.87042 1.49403 31.51188 7.88139 4.23958 4.92724 5.93134 8.53827 3.43162 0.00006 0.46762 0.01718 0.04157 0.32104 17.70474 2.66349 2.79594 0.16380 0.61453 0.74824 0.07753 4.33473 0.46606
0.09907 39.21662 0.09907 39.21662 1.28067 33.28230 8.17282 4.51508 5.41425 6.32967 8.78621 3.73388 0.00005 0.44140 0.01642 0.04035 0.34782 19.64037 2.92717 3.10635 0.18695 0.65029 0.72699 0.08053 4.18561 0.46150
0.21257 36.09070 0.21257 36.09070 1.17859 30.82095 7.54131 4.17515 5.01679 5.81967 8.10266 3.47056 0.00005 0.44958 0.01565 0.03904 0.36715 21.54134 3.19022 3.41143 0.19161 0.65246 0.72539 0.07844 4.20323 0.46586
0.14805 31.08569 0.14805 31.08569 1.14474 26.66486 6.67540 3.62965 4.30787 5.05117 7.20184 2.98445 0.00005 0.46217 0.01500 0.03796 0.38345 23.21645 3.42318 3.68147 0.17806 0.63095 0.73933 0.07699 4.26113 0.46636
0.04502 27.60125 0.04502 27.60125 1.11840 23.73319 6.06498 3.25184 3.74234 4.51095 6.58143 2.63340 0.00005 0.47248 0.01456 0.03732 0.40368 24.67818 3.62371 3.91797 0.15792 0.59735 0.75151 0.07279 4.43420 0.46855
0.20982 25.66668 0.20982 25.66668 1.12268 22.14031 5.73702 3.04689 3.39902 4.20719 6.25689 2.43438 0.00005 0.48498 0.01435 0.03721 0.42908 26.00421 3.80134 4.13251 0.14187 0.56707 0.76298 0.06736 4.64082 0.46746
0.28518 24.33641 0.28518 24.33641 1.08158 21.04614 5.48780 2.90721 3.18508 3.99893 5.99983 2.30958 0.00005 0.49151 0.01429 0.03741 0.45825 27.25478 3.96583 4.33460 0.13397 0.55081 0.76653 0.06352 4.80027 0.46447
0.32860 22.78610 0.32860 22.78610 1.04150 19.77250 5.19331 2.73958 2.95994 3.75335 5.68991 2.16470 0.00005 0.47806 0.01430 0.03758 0.48853 28.43373 4.11954 4.52513 0.12791 0.53700 0.77514 0.06081 4.91692 0.46453
0.30741 21.04445 0.30741 21.04445 0.99995 18.33622 4.86494 2.55038 2.71864 3.48001 5.34219 2.00145 0.00005 0.46234 0.01435 0.03780 0.51933 29.53042 4.26160 4.70243 0.12174 0.52205 0.77703 0.05783 5.03950 0.46260
