min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.48699 31.95481 0.48699 30.22103 2.01628 31.95481 6.73433 3.66146 2.70495 3.81425 7.81209 2.75618 0.00000 0.05484 0.00084 0.00314 0.01231 0.88370 0.07875 0.11241 0.10965 0.33219 0.86030 0.02338 7.27192 0.47939
0.59647 69.72035 0.59647 66.90053 1.81717 69.72035 13.02593 7.88415 7.59781 9.36105 14.47782 6.73486 0.00000 0.24754 0.00887 0.01891 0.04454 3.28058 0.32271 0.42323 0.23146 0.47782 0.76718 0.05253 5.03062 0.46590
0.20573 65.62161 0.20573 59.41867 1.20350 65.62161 12.10280 7.52609 8.38281 8.88639 13.09780 6.78077 0.00005 0.44283 0.02721 0.03829 0.08350 6.65387 0.75522 0.90479 0.32904 0.55725 0.50067 0.05914 4.34627 0.44486
0.10179 49.61085 0.10179 45.36045 1.46460 49.61085 9.78358 5.64639 6.94521 6.85063 10.54278 5.01250 0.00008 0.41912 0.03739 0.05033 0.13659 9.19178 1.13540 1.26846 0.35263 0.58777 0.52844 0.06486 3.94881 0.47592
0.01618 47.55406 0.01618 43.53932 1.58183 47.55406 9.64029 5.39521 6.70934 6.51326 10.42425 4.75759 0.00018 0.42900 0.04352 0.06103 0.18220 11.34771 1.47176 1.58438 0.33240 0.58774 0.58160 0.06328 3.90148 0.47721
0.10633 43.63086 0.10633 39.35515 1.26511 43.63086 8.60877 4.98355 5.61781 5.90699 9.40878 4.37185 0.00016 0.45528 0.04371 0.06478 0.19274 13.43429 1.78582 1.89542 0.28011 0.53820 0.64429 0.06234 4.27388 0.45098
0.00601 34.00367 0.00601 30.62197 1.19474 34.00367 6.66559 3.86215 3.71665 4.33730 7.45436 3.30544 0.00015 0.47220 0.04180 0.06404 0.19779 15.13928 2.01799 2.14634 0.20693 0.45882 0.76801 0.05233 4.95385 0.45259
0.05674 39.32317 0.05674 36.32237 1.48187 39.32317 7.55706 4.40940 3.74125 4.84927 8.57769 3.66296 0.00014 0.47376 0.04038 0.06236 0.20847 16.75025 2.19477 2.36402 0.16418 0.40638 0.82296 0.04349 5.59805 0.46631
0.08272 41.97650 0.08272 39.05132 1.28133 41.97650 7.83325 4.70039 4.14622 5.32633 8.81945 3.97571 0.00014 0.47175 0.03961 0.06114 0.22749 18.68416 2.39694 2.62143 0.18736 0.43059 0.81119 0.04486 5.55479 0.45716
0.11227 38.78121 0.11227 35.95167 1.16632 38.78121 7.22030 4.34105 3.78603 4.82248 8.13888 3.69679 0.00013 0.48666 0.03927 0.06089 0.24717 20.57415 2.59660 2.87353 0.18478 0.42656 0.81234 0.04290 5.59443 0.45529
