min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.02495 29.27411 0.02495 29.27411 1.91622 23.80904 5.25458 4.26407 1.09057 3.16282 7.72989 2.57096 0.00000 0.03906 0.00485 0.00602 0.00064 0.85148 0.03129 0.09182 0.01986 0.09532 0.93883 0.01387 19.69003 0.43103
0.17170 66.51263 0.17170 66.51263 1.75592 54.67289 10.03810 8.87829 2.93658 7.77436 14.25961 6.47702 0.00001 0.29061 0.01045 0.01412 0.00522 3.19856 0.12770 0.35526 0.03773 0.14681 0.91431 0.02742 13.74469 0.43754
0.04498 62.46029 0.04498 62.46029 1.08641 51.63356 9.42530 8.35927 3.37884 7.43817 13.01964 6.62383 0.00002 0.28942 0.01764 0.02553 0.02103 6.65302 0.29906 0.76127 0.04846 0.21666 0.89487 0.03347 10.73482 0.43745
0.02040 48.01704 0.02040 48.01704 1.34959 39.63437 7.44611 6.43841 2.23415 5.31155 10.54437 4.85559 0.00002 0.33328 0.02135 0.03433 0.03341 9.33097 0.43672 1.06720 0.03250 0.16997 0.91678 0.02624 12.71589 0.43406
0.08974 46.94767 0.08974 46.94767 1.40470 38.56757 7.23896 6.29155 2.05531 5.27079 10.32040 4.59688 0.00002 0.30586 0.02159 0.03532 0.04233 11.67490 0.54120 1.32722 0.03095 0.14822 0.91889 0.02607 13.71384 0.43367
0.04647 42.47121 0.04647 42.47121 1.11800 34.64140 6.55772 5.70847 1.92106 4.81025 9.31399 4.22211 0.00002 0.30978 0.01918 0.03270 0.05295 13.94617 0.64241 1.58404 0.03177 0.15350 0.91445 0.02782 13.10495 0.43699
0.01214 32.03782 0.01214 32.03782 1.09565 25.99282 5.16842 4.40575 1.36886 3.48951 7.42708 3.16660 0.00001 0.31389 0.01778 0.03114 0.06257 15.79556 0.72492 1.79003 0.02527 0.13328 0.92407 0.02087 14.77670 0.43260
0.11209 36.78638 0.11209 36.78638 1.38483 29.75134 5.88879 5.02017 1.47398 4.02549 8.51319 3.47521 0.00001 0.30877 0.01710 0.03012 0.06929 17.46564 0.79234 1.96861 0.02522 0.11903 0.92735 0.02051 15.90040 0.43340
0.05207 38.74869 0.05207 38.74869 1.20241 31.34822 6.11064 5.27810 1.65756 4.36660 8.75778 3.78009 0.00001 0.30749 0.01650 0.02959 0.07577 19.38579 0.87235 2.18295 0.02880 0.13182 0.91959 0.02338 14.59746 0.42789
0.05384 35.77487 0.05384 35.77487 1.10193 28.89971 5.65957 4.87885 1.52643 3.97213 8.11653 3.51885 0.00001 0.30583 0.01593 0.02895 0.08267 21.26527 0.95282 2.39302 0.02774 0.13234 0.92004 0.02257 14.64481 0.43196
0.05359 31.05142 0.05359 31.05142 1.07659 25.11037 5.01292 4.27854 1.28013 3.38885 7.23188 3.02560 0.00001 0.30274 0.01535 0.02804 0.08859 22.93216 1.02288 2.57601 0.02491 0.12140 0.92497 0.01984 15.64714 0.42874
0.04897 27.69810 0.04897 27.69810 1.05590 22.42903 4.55606 3.85926 1.10573 3.00203 6.60712 2.66583 0.00001 0.29876 0.01492 0.02735 0.09336 24.39493 1.08215 2.73399 0.02319 0.11046 0.92780 0.01825 16.52217 0.42512
0.05427 25.79499 0.05427 25.79499 1.05313 20.90813 4.30835 3.62863 1.01057 2.79265 6.26873 2.45968 0.00001 0.29421 0.01471 0.02703 0.09711 25.72595 1.13471 2.87677 0.02241 0.10502 0.92859 0.01695 17.29710 0.42361
0.04701 24.50762 0.04701 24.50762 1.01807 19.89257 4.12473 3.46675 0.95483 2.65858 6.00908 2.33176 0.00001 0.28857 0.01468 0.02704 0.10007 26.98408 1.18385 3.01172 0.02236 0.10230 0.92804 0.01627 17.70043 0.42432
0.03635 22.98958 0.03635 22.98958 0.98284 18.68951 3.90787 3.27429 0.88884 2.48940 5.70254 2.18431 0.00001 0.28244 0.01479 0.02726 0.10241 28.17247 1.23000 3.13907 0.02197 0.09937 0.92751 0.01512 18.34052 0.42519
0.02845 21.28739 0.02845 21.28739 0.94187 17.32655 3.66266 3.05697 0.81515 2.29919 5.35538 2.01803 0.00001 0.28741 0.01497 0.02754 0.10425 29.28023 1.27261 3.25721 0.02142 0.09638 0.92939 0.01451 18.74734 0.42390
0.02142 19.46863 0.02142 19.46863 0.91970 15.88003 3.40359 2.82492 0.73801 2.09873 4.98815 1.83605 0.00001 0.29543 0.01520 0.02782 0.10567 30.29879 1.31143 3.36525 0.02074 0.09314 0.93154 0.01379 19.34101 0.42167
0.01830 18.27786 0.01830 18.27786 0.94555 14.93126 3.26124 2.68549 0.68485 1.96875 4.79278 1.70394 0.00001 0.30107 0.01546 0.02806 0.10676 31.23658 1.34676 3.46408 0.01986 0.09018 0.93352 0.01277 20.26662 0.42019
