min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.02855 27.35203 0.02855 27.35203 1.70422 24.22851 6.37103 3.91979 2.02350 3.89323 7.82261 2.64881 0.00000 0.11783 0.00195 0.00523 0.00088 0.79404 0.05917 0.11395 0.10171 0.25203 0.87969 0.03031 9.43853 0.46370
0.02649 64.94878 0.02649 64.94878 1.38118 55.72907 12.22715 8.43112 5.37795 9.49902 14.51400 6.61799 0.00003 0.44988 0.02312 0.06183 0.00440 3.03751 0.23486 0.43529 0.14100 0.34173 0.84155 0.05667 7.04266 0.46958
0.15632 62.39291 0.15632 62.39291 1.00354 53.23108 11.35497 8.07850 6.07693 9.40200 13.11723 6.71794 0.00004 0.40636 0.01567 0.02806 0.02336 6.47682 0.54812 0.93802 0.19914 0.44277 0.80598 0.06975 5.83328 0.48468
0.02551 46.07542 0.02551 46.07542 1.22742 41.07474 8.93765 6.16174 4.17704 6.97507 10.52715 4.93012 0.00003 0.39129 0.01614 0.02872 0.04798 9.11153 0.79882 1.33393 0.15877 0.38070 0.82404 0.05895 6.61216 0.48516
0.11442 44.96512 0.11442 44.96512 1.20764 39.96048 8.73335 5.96773 3.87175 6.67474 10.35658 4.70140 0.00003 0.42862 0.01602 0.02877 0.06179 11.36103 0.99567 1.67000 0.14999 0.35671 0.83994 0.05537 6.95958 0.47628
0.08084 40.68265 0.08084 40.68265 0.95280 35.52272 7.89009 5.41516 3.56622 6.05106 9.33377 4.30846 0.00002 0.36609 0.01450 0.02682 0.07722 13.53824 1.18488 1.99313 0.15672 0.36364 0.83698 0.05605 6.85246 0.47772
0.05026 30.38278 0.05026 30.38278 0.96043 26.69363 6.19784 4.14916 2.56813 4.47882 7.40976 3.22462 0.00003 0.36841 0.01327 0.02512 0.08674 15.30047 1.33825 2.25456 0.14246 0.33378 0.84408 0.04792 7.40834 0.46860
0.02970 34.72920 0.02970 34.72920 1.21188 30.71205 7.10783 4.70570 2.76410 5.04306 8.55814 3.55561 0.00005 0.38871 0.01295 0.02467 0.09093 16.88209 1.46553 2.48297 0.12916 0.30615 0.85610 0.04599 7.79835 0.46858
0.03691 36.93448 0.03691 36.93448 1.01600 32.10261 7.37910 4.97332 3.09698 5.44402 8.80885 3.86397 0.00004 0.42449 0.01281 0.02491 0.10177 18.70234 1.61510 2.74938 0.14145 0.33193 0.84674 0.05113 7.28025 0.46880
0.03060 34.05632 0.03060 34.05632 0.95961 29.72449 6.81607 4.60084 2.85587 5.00653 8.13833 3.58910 0.00004 0.43410 0.01221 0.02444 0.11224 20.49487 1.76547 3.01274 0.14340 0.33408 0.84417 0.04945 7.35001 0.46877
0.02727 29.31649 0.02727 29.31649 0.93278 25.74921 6.02831 4.01510 2.41036 4.29341 7.23630 3.08533 0.00004 0.43777 0.01169 0.02374 0.11917 22.07541 1.89694 3.24427 0.13623 0.31821 0.84923 0.04624 7.62380 0.46919
0.04814 25.98016 0.04814 25.98016 0.90767 22.88747 5.47947 3.60105 2.09264 3.78777 6.61028 2.71998 0.00004 0.44668 0.01149 0.02342 0.12355 23.45253 2.00893 3.44442 0.13017 0.30343 0.85497 0.04175 7.99709 0.46605
0.02591 24.13566 0.02591 24.13566 0.90889 21.26279 5.18854 3.37375 1.91905 3.50931 6.28018 2.51194 0.00004 0.45108 0.01153 0.02343 0.12769 24.69998 2.10870 3.62450 0.12616 0.29364 0.85941 0.04113 8.10554 0.46259
0.01105 22.88877 0.01105 22.88877 0.87739 20.17464 4.97055 3.21777 1.81405 3.32943 6.02446 2.38171 0.00004 0.45074 0.01168 0.02359 0.13129 25.87594 2.20201 3.79378 0.12501 0.28969 0.85899 0.03913 8.25743 0.46247
0.00383 21.42860 0.00383 21.42860 0.84376 18.93006 4.70695 3.03207 1.69199 3.11515 5.71360 2.23037 0.00004 0.44787 0.01187 0.02383 0.13426 26.98470 2.28974 3.95321 0.12388 0.28587 0.85982 0.03769 8.37996 0.46076
0.00518 19.80866 0.00518 19.80866 0.81109 17.55275 4.41211 2.82434 1.55721 2.87726 5.36533 2.06063 0.00004 0.44448 0.01211 0.02417 0.13729 28.01642 2.37101 4.10115 0.12251 0.28139 0.86058 0.03606 8.52715 0.45942
0.00579 18.05998 0.00579 18.05998 0.78761 16.05898 4.09637 2.59961 1.41243 2.62105 4.99250 1.87414 0.00005 0.44134 0.01243 0.02463 0.13985 28.96301 2.44526 4.23641 0.12077 0.27610 0.86247 0.03366 8.76468 0.45834
0.01817 16.94111 0.01817 16.94111 0.81312 15.11448 3.92671 2.46194 1.31241 2.45403 4.79959 1.74077 0.00005 0.43879 0.01285 0.02523 0.14215 29.83310 2.51301 4.36004 0.11739 0.26878 0.86492 0.03080 9.11865 0.45903
0.02294 16.87175 0.02294 16.87175 0.82024 15.05164 3.92892 2.45593 1.30971 2.44974 4.80344 1.72811 0.00005 0.43687 0.01335 0.02597 0.14435 30.67738 2.57844 4.47971 0.11695 0.26761 0.86591 0.03080 9.11013 0.46016
0.02294 16.79096 0.02294 16.79096 0.80937 14.97060 3.91085 2.44523 1.30609 2.44092 4.78055 1.72176 0.00005 0.43466 0.01386 0.02676 0.14654 31.51929 2.64387 4.59950 0.11733 0.26810 0.86492 0.03124 9.05041 0.46334
0.00383 16.79096 0.00383 16.79096 0.78761 14.97060 3.91085 2.44523 1.30609 2.44092 4.78055 1.72176 0.00000 0.11783 0.00195 0.00523 0.00088 0.79404 0.05917 0.11395 0.10171 0.25203 0.80598 0.03031 5.83328 0.45834
0.15632 64.94878 0.15632 64.94878 1.70422 55.72907 12.22715 8.43112 6.07693 9.49902 14.51400 6.71794 0.00005 0.45108 0.02312 0.06183 0.14654 31.51929 2.64387 4.59950 0.19914 0.44277 0.87969 0.06975 9.43853 0.48516
0.03854 31.73709 0.03854 31.73709 1.00683 27.83660 6.48319 4.32149 2.66022 4.66728 7.75963 3.31064 0.00004 0.41030 0.01308 0.02617 0.09767 19.38983 1.65319 2.84105 0.13501 0.31482 0.85102 0.04451 7.87552 0.46766
0.03711 13.85600 0.03711 13.85600 0.22703 11.81937 2.33654 1.72040 1.32549 2.08741 2.68292 1.46930 0.00001 0.07204 0.00364 0.00942 0.04613 9.24750 0.77856 1.35319 0.02044 0.04573 0.01611 0.01088 0.94447 0.00776
