min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.11959 28.93985 0.11959 28.93985 2.05899 25.10105 7.11679 3.54374 3.46349 4.81840 7.92844 2.56242 0.00000 0.16301 0.00028 0.00429 0.00417 0.84813 0.10225 0.14092 0.09075 0.44690 0.81104 0.04768 5.80884 0.44666
0.74778 65.57289 0.74778 65.57289 1.59792 53.89375 13.91435 7.76214 9.04191 11.26890 14.99687 6.24319 0.00000 0.14974 0.00186 0.00562 0.05854 3.16437 0.39910 0.52949 0.16561 0.64781 0.73088 0.07786 4.44303 0.47121
0.32641 63.06275 0.32641 63.06275 1.06830 52.71243 12.95955 7.56914 10.34961 10.99074 13.53941 6.42911 0.00000 0.23388 0.00725 0.01362 0.12691 6.59943 0.92272 1.12028 0.28606 0.79256 0.53310 0.09725 3.66399 0.47451
0.13487 47.09457 0.13487 47.09457 1.33349 39.52043 10.16736 5.59714 8.01902 8.22469 10.64466 4.69106 0.00000 0.39686 0.00999 0.01975 0.16070 9.28673 1.37545 1.58211 0.28848 0.80641 0.62839 0.10532 3.50655 0.47415
0.31779 46.06710 0.31779 46.06710 1.39908 37.59391 9.99523 5.40098 7.49688 7.91342 10.55029 4.47703 0.00000 0.44140 0.01243 0.02705 0.23137 11.58493 1.75953 1.97562 0.24983 0.75577 0.66660 0.09992 3.63815 0.46581
0.10314 42.19660 0.10314 42.19660 1.10689 34.59955 8.95711 4.96414 6.50277 7.18506 9.50240 4.12461 0.00000 0.44604 0.01313 0.03294 0.25845 13.82602 2.11495 2.35726 0.22717 0.71709 0.68836 0.09091 3.88186 0.46315
0.13439 31.94239 0.13439 31.94239 1.12874 26.97540 6.93717 3.77627 4.64418 5.37966 7.44661 3.09371 0.00000 0.44650 0.01265 0.03461 0.27514 15.66035 2.39182 2.66824 0.19251 0.65463 0.72795 0.08119 4.16836 0.46257
0.30870 36.21154 0.30870 36.21154 1.42517 30.49892 7.97994 4.27349 4.91271 6.07717 8.66138 3.40006 0.00000 0.45571 0.01196 0.03314 0.29491 17.31779 2.62185 2.94573 0.15389 0.59959 0.74925 0.07264 4.53114 0.46199
0.20506 38.57231 0.20506 38.57231 1.20353 32.14009 8.29479 4.56486 5.39045 6.53825 8.94005 3.69859 0.00000 0.46280 0.01128 0.03138 0.32027 19.21839 2.88387 3.26566 0.17227 0.63448 0.73372 0.07746 4.37013 0.46496
0.20385 35.57926 0.20385 35.57926 1.11339 29.90246 7.63766 4.21671 5.02250 6.01580 8.21868 3.44000 0.00000 0.46624 0.01063 0.03000 0.33754 21.09012 3.14676 3.58194 0.17933 0.64191 0.73014 0.07690 4.33843 0.46461
0.14649 30.76271 0.14649 30.76271 1.09838 26.05908 6.73179 3.65745 4.30354 5.18744 7.27128 2.96130 0.00000 0.46191 0.01007 0.02878 0.35217 22.74494 3.37981 3.86110 0.16877 0.62173 0.74176 0.07542 4.39186 0.46441
0.22348 27.38699 0.22348 27.38699 1.08843 23.29463 6.10321 3.26928 3.73694 4.59771 6.62893 2.61648 0.00000 0.45275 0.00965 0.02768 0.36990 24.19342 3.58006 4.10411 0.15184 0.58918 0.75515 0.07064 4.55274 0.46137
0.29727 25.49923 0.29727 25.49923 1.09742 21.78300 5.76642 3.05862 3.39289 4.26579 6.29375 2.42096 0.00000 0.43873 0.00937 0.02664 0.39173 25.51007 3.75739 4.32360 0.13777 0.56020 0.76308 0.06339 4.80472 0.46289
0.35378 24.21599 0.35378 24.21599 1.06190 20.74376 5.51372 2.91668 3.18019 4.04428 6.03216 2.29882 0.00000 0.42142 0.00919 0.02568 0.41668 26.75354 3.92163 4.52989 0.13077 0.54486 0.77094 0.06140 4.90420 0.46120
0.31916 22.70576 0.31916 22.70576 1.02698 19.53218 5.21269 2.74613 2.95842 3.78752 5.71352 2.15633 0.00000 0.40373 0.00908 0.02484 0.44247 27.92756 4.07518 4.72413 0.12578 0.53275 0.77443 0.05810 5.02827 0.45988
0.23975 21.03323 0.23975 21.03323 0.98947 18.16848 4.87578 2.55341 2.71846 3.50041 5.35507 1.99561 0.00000 0.38682 0.00900 0.02409 0.46796 29.02127 4.21719 4.90462 0.12064 0.51960 0.77690 0.05707 5.08177 0.45718
0.14985 19.24891 0.14985 19.24891 0.96448 16.69227 4.51700 2.34445 2.46284 3.19230 4.97338 1.81872 0.00000 0.37108 0.00897 0.02345 0.49157 30.02571 4.34673 5.06990 0.11478 0.50403 0.78292 0.05552 5.15912 0.45704
