min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.15476 29.70780 0.15476 29.70780 1.63842 23.78140 7.00467 3.71655 2.87172 4.56148 8.06499 2.55183 0.00000 0.01622 0.00039 0.00093 0.00467 0.86849 0.08471 0.13305 0.11794 0.31456 0.86652 0.03629 7.82965 0.45373
0.17130 67.03119 0.17130 67.03119 1.17341 52.66970 13.75837 8.08778 7.68191 10.99777 15.31730 6.26583 0.00000 0.33161 0.00389 0.01123 0.02080 3.24391 0.33468 0.50824 0.19825 0.42306 0.82241 0.05977 5.86970 0.46616
0.04204 63.82268 0.04204 63.82268 0.80762 52.54580 12.64834 7.85892 8.01343 10.59400 13.83744 6.47217 0.00000 0.41055 0.01411 0.03003 0.05083 6.73530 0.76607 1.08753 0.24008 0.46601 0.73187 0.06038 5.43695 0.45680
0.04301 48.70384 0.04301 48.70384 0.96849 39.96575 9.78619 5.83050 5.75282 7.71625 10.82096 4.71132 0.00001 0.31850 0.01634 0.03204 0.05517 9.48580 1.10082 1.52482 0.21392 0.43773 0.81881 0.05326 5.74108 0.45952
0.01154 47.10760 0.01154 47.10760 1.00220 37.93756 9.58277 5.71401 5.18152 7.51345 10.71192 4.50542 0.00001 0.37480 0.01568 0.03164 0.06451 11.85043 1.36921 1.90008 0.18563 0.40700 0.82801 0.04926 6.37045 0.45673
0.14657 43.03660 0.14657 43.03660 0.77935 34.46807 8.67706 5.16812 4.91897 6.80198 9.64121 4.13993 0.00000 0.35535 0.01439 0.03081 0.08061 14.14331 1.62568 2.26298 0.20356 0.43018 0.82547 0.05288 5.95470 0.45770
0.05165 32.57010 0.05165 32.57010 0.84660 26.38318 6.74986 3.94451 3.56258 5.08123 7.56757 3.10678 0.00000 0.32736 0.01326 0.02981 0.09318 16.01720 1.83789 2.55811 0.17790 0.40253 0.83271 0.04871 6.27705 0.45287
0.14080 37.04556 0.14080 37.04556 1.06757 29.59633 7.79402 4.46701 3.83935 5.72568 8.80859 3.40898 0.00000 0.33590 0.01259 0.02858 0.10296 17.71386 2.01481 2.81892 0.15951 0.37636 0.84550 0.04602 6.71706 0.45478
0.06541 39.39683 0.06541 39.39683 0.89278 31.36355 8.13410 4.75557 4.35428 6.25758 9.10382 3.71023 0.00000 0.36324 0.01192 0.02751 0.11735 19.65607 2.22427 3.12355 0.18213 0.40652 0.83019 0.05270 6.17599 0.46045
0.08311 36.36069 0.08311 36.36069 0.82847 29.15728 7.47634 4.38803 3.99520 5.71541 8.36943 3.45073 0.00000 0.34533 0.01107 0.02604 0.12761 21.56757 2.43497 3.42583 0.18211 0.40688 0.82991 0.05131 6.22540 0.45750
0.09014 31.50264 0.09014 31.50264 0.82396 25.29214 6.58198 3.81013 3.39584 4.89777 7.39939 2.96897 0.00000 0.33576 0.01044 0.02495 0.13652 23.26105 2.61963 3.69024 0.17119 0.39484 0.83902 0.04796 6.40076 0.45503
