min_wss max_wss min_wss_aneurysm max_wss_aneurysm min_wss_vessels max_wss_vessels mean_wss std_wss mean_wss_aneurysm std_wss_aneurysm mean_wss_vessels std_wss_vessels min_osi_aneurysm max_osi_aneurysm mean_osi_aneurysm std_osi_aneurysm min_tawss_aneurysm max_tawss_aneurysm mean_tawss_aneurysm std_tawss_aneurysm KER VDR LSA HSA SCI ICI
0.07849 29.15027 0.07849 29.15027 2.08312 24.18397 6.60157 3.81825 2.46454 4.14569 7.91761 2.56378 0.00000 0.01602 0.00035 0.00072 0.00694 0.85385 0.07312 0.12101 0.11021 0.29991 0.86993 0.03169 8.08891 0.47399
0.27552 65.37070 0.27552 65.37070 1.63740 52.25912 13.00395 8.16840 6.65351 10.02977 15.02410 6.24799 0.00000 0.27716 0.00302 0.00860 0.02815 3.16467 0.28767 0.46172 0.18694 0.40764 0.82004 0.05761 6.04906 0.49079
0.11674 61.80510 0.11674 61.80510 1.23123 51.96425 12.19071 7.85985 7.66340 9.87529 13.63090 6.46624 0.00000 0.30090 0.01275 0.02414 0.06049 6.52283 0.67884 0.99505 0.25006 0.49120 0.67785 0.06683 5.03937 0.48829
0.03521 46.81719 0.03521 46.81719 1.36631 39.13368 9.39089 5.87495 5.40729 7.22444 10.65812 4.71568 0.00000 0.35739 0.01387 0.03085 0.08108 9.16095 0.99995 1.40721 0.21417 0.45291 0.79894 0.05913 5.43346 0.48379
0.10441 45.92176 0.10441 45.92176 1.44382 38.03034 9.18440 5.73099 4.95065 6.99290 10.53121 4.49673 0.00000 0.40142 0.01240 0.02990 0.09169 11.45348 1.25342 1.75745 0.19592 0.42846 0.81243 0.05720 5.75741 0.48787
0.07185 41.83259 0.07185 41.83259 1.15851 34.55532 8.29572 5.22475 4.53566 6.35832 9.49183 4.14644 0.00000 0.43649 0.01103 0.02840 0.09600 13.68349 1.49448 2.09687 0.20047 0.43446 0.81139 0.05630 5.74285 0.48726
0.02887 31.87736 0.02887 31.87736 1.17379 26.46041 6.44802 3.98115 3.30870 4.71048 7.44668 3.11458 0.00000 0.46111 0.01017 0.02788 0.09993 15.51076 1.69051 2.37145 0.17993 0.41128 0.82573 0.05016 6.02273 0.48198
0.21538 36.12206 0.21538 36.12206 1.47294 29.79001 7.40098 4.53288 3.45478 5.28767 8.65632 3.41458 0.00000 0.46002 0.00970 0.02716 0.10671 17.16997 1.85270 2.61285 0.15629 0.37349 0.83608 0.04715 6.53625 0.48413
0.06769 38.45238 0.06769 38.45238 1.25785 31.41273 7.73005 4.81092 3.90088 5.75974 8.94816 3.71568 0.00000 0.42789 0.00927 0.02595 0.11889 19.06375 2.03980 2.89344 0.17771 0.40320 0.82484 0.05031 6.21231 0.48433
0.07409 35.49156 0.07409 35.49156 1.17648 29.17079 7.12099 4.43783 3.63246 5.28588 8.23073 3.45951 0.00000 0.41083 0.00867 0.02472 0.12728 20.92998 2.23031 3.17234 0.17963 0.40739 0.82483 0.05031 6.14343 0.48822
0.01725 30.79570 0.01725 30.79570 1.14793 25.45418 6.26320 3.86069 3.07815 4.52740 7.27640 2.97863 0.00000 0.40254 0.00819 0.02383 0.13332 22.58388 2.39798 3.41693 0.16884 0.39458 0.82974 0.04859 6.26002 0.48558
0.07234 27.47562 0.07234 27.47562 1.12814 22.77756 5.67243 3.46147 2.66632 3.99772 6.62871 2.63061 0.00000 0.39533 0.00789 0.02323 0.13999 24.03544 2.54088 3.62870 0.15733 0.37907 0.83453 0.04715 6.40761 0.48361
0.12282 25.63279 0.12282 25.63279 1.13201 21.26597 5.35985 3.24505 2.43131 3.70509 6.29145 2.43252 0.00000 0.38486 0.00777 0.02287 0.14778 25.35786 2.66766 3.81968 0.14876 0.36663 0.83993 0.04323 6.67494 0.48212
